gene,logFC,direction_class,desired_direction,pathway,confidence
GRIN1,0.75,pathogenic,-1,neuroprotection,0.7
GRIA1,0.65,pathogenic,-1,neuroprotection,0.6
CASP3,1.10,pathogenic,-1,neuroprotection,0.8
BAX,0.85,pathogenic,-1,neuroprotection,0.7
BCL2,-0.65,protective_deficit,1,neuroprotection,0.7
SIRT1,-0.60,protective_deficit,1,metabolism,0.6
PPARGC1A,-0.85,protective_deficit,1,metabolism,0.8
TFAM,-0.70,protective_deficit,1,metabolism,0.7
NDUFA1,-0.80,protective_deficit,1,metabolism,0.8
ATP5F1A,-0.65,protective_deficit,1,metabolism,0.7
PRKAA1,-0.50,protective_deficit,1,metabolism,0.6
MTOR,0.70,pathogenic,-1,metabolism,0.6
HMGCR,0.55,pathogenic,-1,metabolism,0.6
LDLR,0.45,pathogenic,-1,metabolism,0.5
SLC2A1,-0.55,protective_deficit,1,metabolism,0.6
CD52,0.65,pathogenic,-1,adaptive_immunity,0.8
DHODH,0.60,pathogenic,-1,metabolism,0.7
