protein_a	protein_b	combined_score
PXDNL	RBFOX3	0.737
PXDNL	S100B	0.447
PXDNL	SCARB2	0.485
PXDNL	SDHB	0.521
PXDNL	SIRT1	0.639
PXDNL	SIRT3	0.447
PXDNL	SLC6A3	0.409
PXDNL	SNCA	0.569
PXDNL	SOD1	0.608
PXDNL	SOD2	0.598
PXDNL	SOD2-2	0.597
PXDNL	SQSTM1	0.611
PXDNL	SRC	0.675
PXDNL	STAT3	0.824
PXDNL	STUB1	0.401
PXDNL	SYN1	0.491
PXDNL	SYP	0.681
PXDNL	TAC1	0.576
PXDNL	TARDBP	0.432
PXDNL	TFAM	0.47
PXDNL	TFRC	0.608
PXDNL	TGFB1	0.724
PXDNL	TH	0.743
PXDNL	TNF	0.8
PXDNL	TOMM20	0.527
PXDNL	TP53	0.821
PXDNL	TRAF6	0.487
PXDNL	TXN	0.607
PXDNL	UCHL1	0.451
PXDNL	UCP2	0.415
PXDNL	VDAC1	0.585
PXDNL	XBP1	0.527
PXDNL	XDH	0.723
PYCARD	RIPK1	0.75
PYCARD	RIPK3	0.493
PYCARD	SCARB2	0.44
PYCARD	SQSTM1	0.62
PYCARD	TLR2	0.555
PYCARD	TLR4	0.76
PYCARD	TNF	0.705
PYCARD	TRAF6	0.503
RAB10	SNCA	0.421
RAB10	TFRC	0.426
RAB10	TLR4	0.557
RAB10	VPS35	0.676
RAB29	SDHB	0.418
RAB29	SNCA	0.748
RAB29	TMEM230	0.403
RAB29	VPS35	0.755
RBFOX3	S100B	0.778
RBFOX3	SLC18A2	0.407
RBFOX3	SLC1A2	0.637
RBFOX3	SLC6A3	0.438
RBFOX3	SNCA	0.699
RBFOX3	SOD1	0.469
RBFOX3	SYN1	0.759
RBFOX3	SYP	0.801
RBFOX3	TAC1	0.468
RBFOX3	TARDBP	0.641
RBFOX3	TH	0.713
RBFOX3	TLR4	0.569
RBFOX3	TNF	0.554
RBFOX3	TP53	0.42
RBFOX3	TREM2	0.401
RBFOX3	UCHL1	0.424
RET	SDHB	0.883
RET	SRC	0.859
RET	STAT3	0.887
RET	TH	0.544
RET	TP53	0.801
RET	TRAF6	0.557
RIPK1	RIPK3	0.999
RIPK1	SIRT1	0.581
RIPK1	SQSTM1	0.997
RIPK1	STAT3	0.481
RIPK1	STUB1	0.642
RIPK1	TLR2	0.639
RIPK1	TLR4	0.962
RIPK1	TNF	0.999
RIPK1	TP53	0.626
RIPK1	TRAF2	0.999
RIPK1	TRAF6	0.998
RIPK1	VDAC1	0.561
RIPK3	SQSTM1	0.619
RIPK3	STUB1	0.784
RIPK3	TLR2	0.617
RIPK3	TLR4	0.832
RIPK3	TNF	0.998
RIPK3	TP53	0.422
RIPK3	TRAF2	0.963
RIPK3	TRAF6	0.428
S100B	SLC1A2	0.691
S100B	SNCA	0.513
S100B	SOD1	0.407
S100B	SRC	0.477
S100B	STAT3	0.424
S100B	SYN1	0.492
S100B	SYP	0.528
S100B	TH	0.479
S100B	TLR4	0.844
S100B	TNF	0.58
S100B	TP53	0.995
S100B	TREM2	0.428
S100B	UCHL1	0.699
SCARB2	SDHB	0.439
SCARB2	SIRT1	0.661
SCARB2	SNCA	0.682
SCARB2	SRC	0.703
SCARB2	STAT3	0.508
SCARB2	TAC1	0.433
SCARB2	TFRC	0.917
SCARB2	TGFB1	0.527
SCARB2	TLR2	0.996
SCARB2	TLR4	0.996
SCARB2	TNF	0.68
SCARB2	TP53	0.416
SCARB2	TREM2	0.525
SCARB2	UCP2	0.564
SDHB	SIRT3	0.567
SDHB	SOD2	0.614
SDHB	SOD2-2	0.611
SDHB	TAC1	0.401
SDHB	TFAM	0.586
SDHB	TMEM230	0.424
SDHB	TNF	0.435
SDHB	TOMM20	0.6
SDHB	TP53	0.526
SDHB	VDAC1	0.716
SDHB	VDAC2	0.541
SIRT1	SIRT3	0.46
SIRT1	SNCA	0.518
SIRT1	SOD1	0.638
SIRT1	SOD2	0.773
SIRT1	SOD2-2	0.773
SIRT1	SQSTM1	0.707
SIRT1	SRC	0.454
SIRT1	STAT3	0.817
SIRT1	TAC1	0.461
SIRT1	TFAM	0.903
SIRT1	TFEB	0.543
SIRT1	TGFB1	0.594
SIRT1	TLR4	0.609
SIRT1	TNF	0.706
SIRT1	TP53	0.999
SIRT1	TRAF6	0.455
SIRT1	TXN	0.595
SIRT1	UCP2	0.668
SIRT1	VDAC1	0.431
SIRT1	XBP1	0.483
SIRT1	XDH	0.477
SIRT3	SOD1	0.439
SIRT3	SOD2	0.895
SIRT3	SOD2-2	0.833
SIRT3	STAT3	0.407
SIRT3	TFAM	0.803
SIRT3	TNF	0.446
SIRT3	TOMM20	0.418
SIRT3	TP53	0.75
SIRT3	TXN	0.458
SIRT3	UCP2	0.592
SIRT3	VDAC1	0.526
SLC11A2	SLC40A1	0.987
SLC11A2	SNCA	0.402
SLC11A2	SOD1	0.412
SLC11A2	SOD2	0.423
SLC11A2	SOD2-2	0.415
SLC11A2	TFRC	0.96
SLC11A2	TH	0.506
SLC11A2	VPS35	0.435
SLC18A2	SLC6A3	0.966
SLC18A2	SNCA	0.979
SLC18A2	SYN1	0.7
SLC18A2	SYP	0.524
SLC18A2	TH	0.966
SLC1A2	SLC6A3	0.54
SLC1A2	SNCA	0.812
SLC1A2	SOD1	0.731
SLC1A2	SYN1	0.511
SLC1A2	SYP	0.515
SLC1A2	TAC1	0.403
SLC1A2	TARDBP	0.719
SLC1A2	TH	0.475
SLC1A2	TNF	0.451
SLC1A2	VDAC2	0.424
SLC40A1	TFRC	0.936
SLC6A3	SNCA	0.996
SLC6A3	SNCAIP	0.749
SLC6A3	SNCB	0.567
SLC6A3	SYN1	0.475
SLC6A3	SYP	0.482
SLC6A3	TAC1	0.636
SLC6A3	TH	0.95
SLC6A3	VPS35	0.418
SNCA	SNCAIP	0.999
SNCA	SNCB	0.828
SNCA	SOD1	0.897
SNCA	SQSTM1	0.889
SNCA	SRC	0.508
SNCA	STUB1	0.873
SNCA	SYN1	0.814
SNCA	SYP	0.686
SNCA	TAC1	0.524
SNCA	TARDBP	0.994
SNCA	TFAM	0.411
SNCA	TFEB	0.587
SNCA	TH	0.997
SNCA	TLR2	0.906
SNCA	TLR4	0.752
SNCA	TMEM230	0.567
SNCA	TNF	0.594
SNCA	TOMM20	0.985
SNCA	TP53	0.681
SNCA	TRAF6	0.633
SNCA	TREM2	0.553
SNCA	UCHL1	0.957
SNCA	VCP	0.513
SNCA	VDAC1	0.979
SNCA	VDAC2	0.427
SNCA	VPS35	0.778
SNCA	XBP1	0.435
SNCAIP	SNCB	0.745
SNCAIP	STUB1	0.651
SNCAIP	UCHL1	0.648
SNCB	SYN1	0.624
SNCB	SYP	0.531
SNCB	TH	0.437
SNCB	UCHL1	0.719
SOD1	SOD2	0.994
SOD1	SOD2-2	0.908
SOD1	SQSTM1	0.91
SOD1	STUB1	0.681
SOD1	SYP	0.407
SOD1	TAC1	0.459
SOD1	TARDBP	0.989
SOD1	TFAM	0.448
SOD1	TLR2	0.567
SOD1	TLR4	0.631
SOD1	TNF	0.574
SOD1	TOMM20	0.53
SOD1	TP53	0.514
SOD1	TREM2	0.418
SOD1	TXN	0.876
SOD1	UCHL1	0.516
SOD1	UCP2	0.404
SOD1	VCP	0.772
SOD1	VDAC1	0.996
SOD1	XBP1	0.528
SOD1	XDH	0.612
SOD2	STAT3	0.518
SOD2	TFAM	0.805
SOD2	TGFB1	0.438
SOD2	TLR4	0.474
SOD2	TNF	0.611
SOD2	TOMM20	0.54
SOD2	TP53	0.644
SOD2	TXN	0.728
SOD2	UCP2	0.614
SOD2	VDAC1	0.777
SOD2	VDAC2	0.62
SOD2	XDH	0.519
SOD2-2	STAT3	0.439
SOD2-2	TFAM	0.805
SOD2-2	TGFB1	0.436
SOD2-2	TLR4	0.453
SOD2-2	TNF	0.599
SOD2-2	TOMM20	0.539
SOD2-2	TP53	0.643
SOD2-2	TXN	0.706
SOD2-2	UCP2	0.617
SOD2-2	VDAC1	0.788
SOD2-2	VDAC2	0.617
SOD2-2	XDH	0.519
SQSTM1	SRC	0.624
SQSTM1	STAT3	0.68
SQSTM1	STUB1	0.633
SQSTM1	TARDBP	0.95
SQSTM1	TFAM	0.431
SQSTM1	TFEB	0.747
SQSTM1	TGFB1	0.618
SQSTM1	TLR4	0.577
SQSTM1	TNF	0.675
SQSTM1	TOMM20	0.6
SQSTM1	TP53	0.901
SQSTM1	TRAF2	0.931
SQSTM1	TRAF6	0.999
SQSTM1	VCP	0.884
SQSTM1	VDAC1	0.994
SQSTM1	XBP1	0.456
SRC	STAT3	0.999
SRC	STUB1	0.565
SRC	SYN1	0.668
SRC	TAC1	0.627
SRC	TFRC	0.409
SRC	TGFB1	0.787
SRC	TH	0.518
SRC	TLR2	0.697
SRC	TLR4	0.88
SRC	TNF	0.904
SRC	TP53	0.884
SRC	TRAF6	0.996
SRC	TXN	0.447
STAT3	STUB1	0.432
STAT3	TFAM	0.577
STAT3	TFRC	0.504
STAT3	TGFB1	0.87
STAT3	TLR2	0.656
STAT3	TLR4	0.846
STAT3	TNF	0.939
STAT3	TP53	0.994
STAT3	TRAF6	0.887
STAT3	TXN	0.581
STAT3	XBP1	0.57
STUB1	TFEB	0.518
STUB1	TLR4	0.522
STUB1	TP53	0.968
STUB1	TRAF2	0.502
STUB1	TRAF6	0.861
STUB1	VCP	0.812
SYN1	SYP	0.984
SYN1	TARDBP	0.412
SYN1	TH	0.626
SYP	TAC1	0.51
SYP	TH	0.761
SYP	TP53	0.628
SYP	UCHL1	0.603
TAC1	TGFB1	0.557
TAC1	TH	0.836
TAC1	TLR4	0.723
TAC1	TNF	0.653
TAC1	UCHL1	0.687
TARDBP	TFEB	0.436
TARDBP	TREM2	0.58
TARDBP	VCP	0.964
TARDBP	VDAC1	0.577
TARDBP	VPS35	0.476
TARDBP	XBP1	0.405
TFAM	TFEB	0.451
TFAM	TNF	0.411
TFAM	TOMM20	0.817
TFAM	TP53	0.959
TFAM	TXN	0.423
TFAM	UCP2	0.652
TFAM	VDAC1	0.808
TFAM	VDAC2	0.404
TFAM	XBP1	0.421
TFEB	TP53	0.454
TFRC	TLR4	0.438
TFRC	TNF	0.725
TFRC	TP53	0.607
TFRC	VCP	0.534
TFRC	VDAC1	0.442
TFRC	VDAC2	0.427
TGFB1	TLR2	0.676
TGFB1	TLR4	0.721
TGFB1	TNF	0.941
TGFB1	TP53	0.809
TGFB1	TRAF6	0.455
TGFB1	TXN	0.45
TGFB1	XDH	0.409
TH	TLR4	0.555
TH	TNF	0.496
TH	UCHL1	0.631
TH	UCP2	0.617
TLR2	TLR4	0.999
TLR2	TNF	0.951
TLR2	TP53	0.435
TLR2	TRAF6	0.909
TLR2	TREM2	0.525
TLR2	VDAC1	0.788
TLR4	TNF	0.969
TLR4	TP53	0.592
TLR4	TRAF2	0.563
TLR4	TRAF6	0.999
TLR4	TREM2	0.762
TLR4	TXN	0.462
TLR4	XBP1	0.485
TLR4	XDH	0.82
TMEM230	VPS35	0.651
TNF	TP53	0.865
TNF	TRAF2	0.999
TNF	TRAF6	0.998
TNF	TREM2	0.59
TNF	TXN	0.622
TNF	UCHL1	0.446
TNF	UCP2	0.649
TNF	VDAC2	0.417
TNF	XBP1	0.55
TNF	XDH	0.598
TOMM20	VDAC1	0.964
TOMM20	VDAC2	0.792
TP53	TRAF2	0.512
TP53	TRAF6	0.954
TP53	TXN	0.899
TP53	UCHL1	0.795
TP53	UCP2	0.411
TP53	VCP	0.709
TP53	VDAC1	0.772
TP53	XBP1	0.529
TP53	XDH	0.431
TRAF2	TRAF6	0.995
TRAF2	VDAC1	0.41
TRAF2	XBP1	0.568
TRAF6	TXN	0.487
TRAF6	UCHL1	0.468
TRAF6	VCP	0.602
TXN	UCP2	0.445
TXN	VCP	0.544
TXN	VDAC1	0.532
TXN	XDH	0.619
UCHL1	VPS35	0.492
UCP2	VDAC1	0.46
VCP	VDAC1	0.446
VCP	VPS35	0.503
VDAC1	VDAC2	0.998
VDAC1	VPS35	0.467
VDAC1	XBP1	0.579
VDAC2	XBP1	0.434
